ID,TYPE_NAME,PURITY,CATEGORY,BRAND
543,Vàng trang sức,99.99%,Jewelry,Phú Quý
548,Nữ trang,58.30%,Jewelry,SJC
558,Vàng miếng SJC,99.99%,Gold Bar,Phú Quý
559,Vàng trang sức 999,99.99%,Jewelry,Phú Quý
568,Nữ trang,41.70%,Jewelry,SJC
781,PNJ,99.99%,Jewelry,
782,SJC,99.99%,Gold Bar,
783,Nhẫn Trơn PNJ 999.9,99.99%,Ring,
784,Vàng Kim Bảo 999.9,99.99%,Gold Bar,
785,Vàng Phúc Lộc Tài 999.9,99.99%,Gold Bar,
786,Vàng nữ trang 999.9,99.99%,Jewelry,
787,Vàng nữ trang 99,99.00%,Jewelry,
788,Vàng 916 (22K),91.60%,Gold Bar,
789,Vàng 750 (18K),75.00%,Gold Bar,
790,Vàng 680 (16.3K),68.00%,Gold Bar,
791,Vàng 650 (15.6K),65.00%,Gold Bar,
792,Vàng 585 (14K),58.30%,Gold Bar,
793,Vàng 416 (10K),41.66%,Gold Bar,
794,Vàng 375 (9K),37.50%,Gold Bar,
795,Vàng 333 (8K),33.30%,Gold Bar,
843,VÀNG MIẾNG SJC,99.99%,Gold Bar,BTMC
847,Vàng trang sức 99,99.99%,Jewelry,Phú Quý
855,Vàng trang sức 999,99.99%,Jewelry,Phú Quý
863,Phú quý 1 lượng 99.9,99.99%,Gold Bar,Phú Quý
864,Vàng phi SJC,999.0,Gold Bar,Phú Quý
869,Vàng phi SJC,99.99%,Gold Bar,Phú Quý
541,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
546,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC
552,"Vàng SJC 1L, 10L, 1KG",99.99%,Gold Bar,SJC
553,Nữ trang,75.00%,Jewelry,SJC
560,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
565,Vàng trang sức 98,99.99%,Jewelry,Phú Quý
566,Nữ trang,68.00%,Jewelry,SJC
844,Nữ trang,61.00%,Jewelry,SJC
841,"Vàng SJC 1L, 10L, 1KG",99.99%,Gold Bar,SJC
849,Vàng trang sức,99.99%,Jewelry,Phú Quý
853,Nhẫn tròn Phú Quý,99.99%,Ring,Phú Quý
857,Thần tài Phú Quý,99.99%,Gift,Phú Quý
861,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC
866,Nữ trang,99.00%,Jewelry,SJC
545,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC
557,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Gold Bar,SJC
850,"Vàng nhẫn SJC 1 chỉ, 2 chỉ, 5 chỉ",99.99%,Ring,SJC
856,Nữ trang,99.99%,Jewelry,SJC
859,Vàng trang sức 98,99.99%,Jewelry,Phú Quý
542,VÀNG MIẾNG SJC,99.99%,Gold Bar,BTMC
547,Vàng trang sức 99,99.99%,Jewelry,Phú Quý
549,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC
554,Phú quý 1 lượng 99.9,99.99%,Gold Bar,Phú Quý
555,Vàng phi SJC,999.0,Gold Bar,Phú Quý
561,Thần tài Phú Quý,99.99%,Gift,Phú Quý
563,NHẪN TRÒN TRƠN BẢO TÍN MINH CHÂU,99.99%,Ring,BTMC
569,Nữ trang,99.00%,Jewelry,SJC
761,"Vàng SJC 1L, 10L, 1KG",99.99%,Gold Bar,SJC
801,Vàng 610 (14.6K),61.00%,Gold Bar,
821,Vàng nữ trang 999,99.90%,Jewelry,
845,Nữ trang,58.30%,Jewelry,SJC
846,TRANG SỨC VÀNG RỒNG THĂNG LONG,99.99%,Jewelry,BTMC
851,QUÀ MỪNG BẢN VỊ VÀNG BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
852,TRANG SỨC VÀNG RỒNG THĂNG LONG 99.9,99.99%,Jewelry,BTMC
858,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",99.99%,Gold Bar,SJC
860,Vàng miếng SJC,99.99%,Gold Bar,Phú Quý
862,- BÁN LẺ DOJI,99.99%,Gold Bar,DOJI
868,Nữ trang,41.70%,Jewelry,SJC
544,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC
550,Nữ trang,61.00%,Jewelry,SJC
551,Vàng SJC 5 chỉ,99.99%,Gold Bar,SJC
556,Nhẫn tròn Phú Quý,99.99%,Ring,Phú Quý
562,Nữ trang,99.99%,Jewelry,SJC
564,- BÁN LẺ DOJI,99.99%,Gold Bar,DOJI
567,Vàng phi SJC,99.99%,Gold Bar,Phú Quý
842,Vàng SJC 5 chỉ,99.99%,Gold Bar,SJC
848,"Vàng nhẫn SJC 0.5 chỉ, 0.3 chỉ",99.99%,Ring,SJC
854,Nữ trang,75.00%,Jewelry,SJC
865,VÀNG MIẾNG VRTL BẢO TÍN MINH CHÂU,99.99%,Gold Bar,BTMC
867,Nữ trang,68.00%,Jewelry,SJC
