ID,CITY,REGION
65,Unknown,Miền Trung
66,Hà Nội,Miền Bắc
101,Đà Nẵng,Miền Trung
102,Unknown,Tây Nguyên
103,Đồng Nai,Miền Nam
121,Gia Lai,Miền Trung
161,An Giang,Miền Tây
63,Huế,Miền Trung
64,Hạ Long,Miền Bắc
71,Biên Hòa,Miền Nam
73,Cà Mau,Miền Tây
122,Hà Nam,Miền Bắc
141,Hưng Yên,Miền Bắc
162,Thanh hóa,Miền Trung
70,Hồ Chí Minh,Miền Nam
123,Long An,Miền Tây
143,An Giang,Miền Tây
163,Hưng yên,Miền Bắc
61,Nha Trang,Miền Trung
69,Quảng Ninh,Miền Bắc
72,Quảng Ngãi,Miền Trung
74,Unknown,Miền Tây
81,Bạc Liêu,Miền Nam
82,Cà Mau,Miền Nam
124,Hậu Giang,Miền Tây
142,Unknown,Miền Bắc
164,Sơn La,Miền Bắc
62,Bạc Liêu,Miền Tây
67,Hải Phòng,Miền Bắc
68,Unknown,Unknown
144,Quảng Ninh,Miền Trung
