ID,CITY,REGION
65,Hà Tĩnh,Miền Trung
66,Hà Nội,Miền Bắc
101,Đà Nẵng,Miền Trung
102,Gia Lai,Tây Nguyên
103,Đồng Nai,Miền Nam
121,Gia Lai,Miền Trung
63,Huế,Miền Trung
64,Hạ Long,Miền Bắc
71,Biên Hòa,Miền Nam
73,Cà Mau,Miền Tây
122,Hà Nam,Miền Bắc
70,Hồ Chí Minh,Miền Nam
123,Long An,Miền Tây
61,Nha Trang,Miền Trung
69,Quảng Ninh,Miền Bắc
72,Quảng Ngãi,Miền Trung
74,An Giang,Miền Tây
81,Bạc Liêu,Miền Nam
82,Cà Mau,Miền Nam
124,Hậu Giang,Miền Tây
62,Bạc Liêu,Miền Tây
67,Hải Phòng,Miền Bắc
68,Phú Thọ,Miền Bắc
